iter	RMSE
0	1.027245775
1	1.014135847
2	1.005253053
3	0.9960498248
4	0.9850969731
5	0.9759631111
6	0.9667465476
7	0.9596931734
8	0.9505291669
9	0.9426332969
10	0.93486877
11	0.9295850847
12	0.9232313587
13	0.9182548695
14	0.9136543029
15	0.9097609315
16	0.9042397276
17	0.8995560408
18	0.8960139839
19	0.8915885482
20	0.886216742
21	0.8797415314
22	0.8757027797
23	0.8722783514
24	0.8681996269
25	0.8635394833
26	0.8614456579
27	0.8594733755
28	0.8552521857
29	0.8506793118
30	0.8457121561
31	0.8438159186
32	0.8417872746
33	0.840152523
34	0.8378007405
35	0.8346529091
36	0.832710596
37	0.8283664838
38	0.8256699904
39	0.8237790815
40	0.822112298
41	0.8199060308
42	0.8183528134
43	0.8166273322
44	0.8141255948
45	0.8126600864
46	0.8111353588
47	0.8080724409
48	0.807038187
49	0.8060808676
50	0.8040416492
51	0.8020176432
52	0.8015764804
53	0.8004154371
54	0.7996574327
55	0.7989434978
56	0.7980451124
57	0.7959470233
58	0.795069489
59	0.7941488713
60	0.7926174818
61	0.7916109461
62	0.7910753794
63	0.7893545358
64	0.7887420271
65	0.7881138901
66	0.7876268817
67	0.7859093182
68	0.785181856
69	0.7844400682
70	0.7836339217
71	0.783311996
72	0.7827780506
73	0.7822365159
74	0.7818779544
75	0.7811603398
76	0.7807045062
77	0.7802349307
78	0.7797129546
79	0.7782502602
80	0.7777399213
81	0.7771252602
82	0.7766628732
83	0.7762857112
84	0.7757106806
85	0.7744151365
86	0.7741296856
87	0.7736352756
88	0.7731366361
89	0.772741237
90	0.7723702856
91	0.7720032663
92	0.77148352
93	0.770829939
94	0.770299625
95	0.7699766185
96	0.769438954
97	0.7680827581
98	0.7670061446
99	0.766575662
100	0.7661308539
101	0.7646680339
102	0.7645723414
103	0.7641879539
104	0.7635519897
105	0.7633668396
106	0.7632272375
107	0.7629427207
108	0.7623614209
109	0.7615925747
110	0.7611411535
111	0.7610560081
112	0.7608047034
113	0.7604181514
114	0.7594330904
115	0.7588164262
116	0.7583929093
117	0.7580480273
118	0.7577379374
119	0.7567799106
120	0.7565762907
121	0.7557601203
122	0.7555042738
123	0.7542182411
124	0.7539538488
125	0.7532350484
126	0.7517561762
127	0.7514953906
128	0.7511517736
129	0.7509270982
130	0.7506852967
131	0.7500699512
132	0.7498414885
133	0.7496926999
134	0.7491150822
135	0.7482302909
136	0.7467297388
137	0.7459252446
138	0.7457007724
139	0.7455477571
140	0.7450627603
141	0.7444119028
142	0.7437070971
143	0.7431371626
144	0.7430664414
145	0.7423812298
146	0.742067392
147	0.741624949
148	0.7411551964
149	0.740622421
150	0.7403127462
151	0.7399081327
152	0.739705293
153	0.7396475802
154	0.73941991
155	0.7391971297
156	0.73780876
157	0.737606609
158	0.7374158685
159	0.7371652638
160	0.736890306
161	0.7366944138
162	0.736518336
163	0.7359439057
164	0.7356966087
165	0.7353430718
166	0.7350648644
167	0.7348919314
168	0.7343579149
169	0.7342080017
170	0.7338011252
171	0.733406823
172	0.7331948209
173	0.7328337327
174	0.7324579954
175	0.7322829059
176	0.7320278011
177	0.731849246
178	0.7316905829
179	0.730851724
180	0.730387081
181	0.7298761594
182	0.7296711582
183	0.7293128857
184	0.7291386424
185	0.7287340843
186	0.7284623532
187	0.7283755378
188	0.7281572188
189	0.7279987115
190	0.7277975802
191	0.7276512675
192	0.72747114
193	0.7273485117
194	0.7270888239
195	0.7264629072
196	0.7262759999
197	0.7260660558
198	0.7256246451
199	0.7253281885
200	0.7251834552
201	0.7250461982
202	0.7249055288
203	0.7248313368
204	0.7245778572
205	0.724456493
206	0.7244134996
207	0.7243475933
208	0.7242804094
209	0.7241221569
210	0.7238988205
211	0.7238163667
212	0.7237297334
213	0.7236092811
214	0.723541862
215	0.7232997444
216	0.7226585928
217	0.7225395988
218	0.722444023
219	0.7223716951
220	0.722235652
221	0.7221827473
222	0.7218034204
223	0.7217347906
224	0.7216430228
225	0.7215773599
226	0.7213239536
227	0.7210741913
228	0.7205033866
229	0.7204408965
230	0.7201299041
231	0.7199647548
232	0.7199045548
233	0.7198408198
234	0.719725759
235	0.7196297734
236	0.7195400208
237	0.7190935101
238	0.7190320732
239	0.718941578
240	0.71868946
241	0.7186368042
242	0.7183320501
243	0.7182458045
244	0.7179407157
245	0.7176021331
246	0.7175005919
247	0.7169060226
248	0.716733164
249	0.7166533019
250	0.716612516
251	0.7162472457
252	0.7161401721
253	0.7160874376
254	0.7150499051
255	0.7150144755
256	0.7149252431
257	0.7146772144
258	0.7146045723
259	0.7145347598
260	0.7144921964
261	0.7143825
262	0.7143416433
263	0.7143016787
264	0.7135197888
265	0.7130204895
266	0.7128741487
267	0.7127701209
268	0.7122523944
269	0.7121256562
270	0.7116366319
271	0.7111738737
272	0.7108559356
273	0.7107448344
274	0.7107017813
275	0.710673565
276	0.7105643848
277	0.7103850493
278	0.7100340916
279	0.7095486668
280	0.7092764843
281	0.7088108766
282	0.7083563899
283	0.7080064705
284	0.70795233
285	0.7078359117
286	0.7078002464
287	0.7075710359
288	0.707429656
289	0.706980703
290	0.7069418889
291	0.7064609811
292	0.7064141521
293	0.7063006014
294	0.7062596325
295	0.7058320721
296	0.7057984689
297	0.7057625433
298	0.7054430067
299	0.7048418731
300	0.7045743053
301	0.7042658332
302	0.7038882677
303	0.7038387281
304	0.7034225867
305	0.7029993502
306	0.7029195269
307	0.7028692179
308	0.7026196411
309	0.7024163181
310	0.7023819305
311	0.7021574144
312	0.7017300939
313	0.7014746404
314	0.7014272574
315	0.7010305724
316	0.7008404546
317	0.7008032225
318	0.7007224832
319	0.7006926049
320	0.7005998918
321	0.7002305318
322	0.7001046165
323	0.7000678758
324	0.7000367502
325	0.6997429067
326	0.6992535727
327	0.6989029738
328	0.6988511762
329	0.698822008
330	0.6984690469
331	0.6981960953
332	0.6981712073
333	0.6977097972
334	0.6975339134
335	0.6969669135
336	0.6968921541
337	0.6968747172
338	0.6966358741
339	0.6964854674
340	0.6962255859
341	0.6961256275
342	0.6960980818
343	0.6958771287
344	0.6957810803
345	0.6957412067
346	0.6954209982
347	0.695194578
348	0.6951258635
349	0.6950183935
350	0.6945943029
351	0.6945709534
352	0.6942908501
353	0.6942653974
354	0.6938283243
355	0.6934673908
356	0.6932043236
357	0.6931062415
358	0.692675832
359	0.692650462
360	0.6925958217
361	0.6923208927
362	0.692306377
363	0.6921185354
364	0.6920386192
365	0.6920038139
366	0.6919174593
367	0.6918554878
368	0.6917985816
369	0.691478606
370	0.691300656
371	0.6911224738
372	0.6907492785
373	0.6907266534
374	0.6904269713
375	0.690041995
376	0.6897064463
377	0.6895082862
378	0.6892574652
379	0.6888748342
380	0.6886144423
381	0.6882065308
382	0.6879458244
383	0.6876386776
384	0.6872840871
385	0.6872119446
386	0.6869605554
387	0.6867904582
388	0.6864706358
389	0.6861207626
390	0.6853157948
391	0.6851392609
392	0.6850655718
393	0.6850430157
394	0.6849900453
395	0.6848400203
396	0.6841672803
397	0.6840436999
398	0.6838049726
399	0.6837672489
400	0.683420883
401	0.6831698374
402	0.6829701249
403	0.6828375899
404	0.6826539429
405	0.6826241987
406	0.6825088972
407	0.6823137398
408	0.6820064305
409	0.681911869
410	0.6818914866
411	0.6815806004
412	0.6815126814
413	0.6812533682
414	0.6805326209
415	0.6801530932
416	0.6797463079
417	0.6795694999
418	0.6795179615
419	0.6793529504
420	0.6788616247
421	0.6786839825
422	0.6785992947
423	0.6785650759
424	0.6785459339
425	0.6782283537
426	0.6779284732
427	0.6776785558
428	0.6774413442
429	0.676975206
430	0.6769415543
431	0.6767874379
432	0.6766626321
433	0.676221135
434	0.6757989594
435	0.6757403092
436	0.6757218724
437	0.6757024605
438	0.6753903155
439	0.6750982937
440	0.6748171361
441	0.6746921699
442	0.6746746036
443	0.6745150771
444	0.6744595256
445	0.6744427381
446	0.6739654452
447	0.6737003924
448	0.6736840002
449	0.6736579399
450	0.6733602174
451	0.6728273328
452	0.6728067627
453	0.6726534957
454	0.6723862638
455	0.6719736218
456	0.6716464092
457	0.6716018425
458	0.67149549
459	0.671350379
460	0.6713349176
461	0.6708972883
462	0.6708820638
463	0.6708360479
464	0.6707031828
465	0.670124048
466	0.6701079027
467	0.6700711743
468	0.6694461211
469	0.6693886606
470	0.6693748109
471	0.6692106139
472	0.6691435695
473	0.6689475313
474	0.6685570371
475	0.6682043881
476	0.6681797037
477	0.6680253368
478	0.6679144183
479	0.6675869792
480	0.6671498262
481	0.6667371688
482	0.6667105937
483	0.6666459824
484	0.6663489544
485	0.666283756
486	0.6662231461
487	0.6659570353
488	0.6656834509
489	0.6654676274
490	0.6651096626
491	0.6648605971
492	0.6646889919
493	0.6643326303
494	0.664320349
495	0.6640810278
496	0.6640076754
497	0.663914147
498	0.6637470525
499	0.6635495581
500	0.6635349436
501	0.6632294027
502	0.6629866119
503	0.6629440693
504	0.6625513852
505	0.6625387222
506	0.6623318939
507	0.6622957403
508	0.6622844448
509	0.6621887001
510	0.6621045816
511	0.6619480033
512	0.6617464386
513	0.6616357268
514	0.6611963602
515	0.6605117088
516	0.6601424235
517	0.6599227877
518	0.6597814248
519	0.6593388276
