iter	Passed	Remaining
0	153	153005
1	159	79378
2	164	54606
3	168	42020
4	174	34793
5	179	29771
6	185	26358
7	190	23643
8	196	21601
9	199	19762
10	203	18277
11	210	17335
12	216	16413
13	221	15594
14	226	14869
15	230	14160
16	239	13861
17	244	13323
18	252	13026
19	256	12560
20	261	12212
21	265	11806
22	270	11481
23	279	11347
24	283	11049
25	291	10928
26	296	10676
27	301	10470
28	309	10366
29	318	10302
30	324	10129
31	330	10006
32	336	9862
33	342	9734
34	346	9557
35	369	9886
36	375	9783
37	380	9642
38	385	9504
39	390	9383
40	398	9320
41	404	9219
42	408	9085
43	411	8946
44	418	8891
45	422	8763
46	426	8657
47	432	8572
48	435	8460
49	444	8441
50	449	8355
51	456	8329
52	459	8205
53	470	8242
54	475	8161
55	482	8131
56	486	8048
57	491	7986
58	497	7937
59	505	7912
60	511	7872
61	521	7893
62	526	7837
63	533	7803
64	551	7933
65	565	7999
66	576	8027
67	586	8036
68	594	8023
69	628	8356
70	644	8431
71	648	8354
72	654	8307
73	663	8299
74	702	8662
75	709	8622
76	726	8707
77	739	8743
78	745	8691
79	751	8637
80	763	8661
81	768	8605
82	776	8582
83	783	8541
84	789	8496
85	795	8450
86	805	8449
87	811	8407
88	815	8349
89	825	8350
90	831	8309
91	840	8299
92	851	8300
93	856	8252
94	865	8244
95	869	8191
96	874	8139
97	880	8107
98	886	8072
99	893	8042
100	899	8003
101	906	7985
102	910	7926
103	914	7877
104	923	7874
105	928	7832
106	935	7811
107	943	7794
108	949	7760
109	958	7752
110	965	7730
111	974	7729
112	985	7735
113	990	7699
114	999	7689
115	1003	7648
116	1014	7653
117	1027	7680
118	1032	7641
119	1039	7620
120	1043	7581
121	1053	7581
122	1065	7596
123	1070	7564
124	1076	7536
125	1087	7543
126	1095	7529
127	1100	7497
128	1105	7462
129	1113	7452
130	1118	7416
131	1123	7387
132	1128	7353
133	1133	7324
134	1137	7286
135	1140	7248
136	1149	7240
137	1153	7203
138	1157	7168
139	1165	7156
140	1169	7123
141	1176	7108
142	1181	7078
143	1185	7044
144	1190	7018
145	1194	6986
146	1198	6956
147	1206	6944
148	1210	6912
149	1214	6884
150	1219	6853
151	1223	6825
152	1227	6796
153	1231	6765
154	1235	6733
155	1238	6703
156	1245	6687
157	1249	6658
158	1255	6640
159	1259	6614
160	1263	6585
161	1268	6559
162	1273	6537
163	1277	6513
164	1284	6501
165	1290	6482
166	1297	6471
167	1301	6446
168	1305	6418
169	1313	6410
170	1317	6384
171	1320	6358
172	1325	6335
173	1328	6308
174	1332	6282
175	1338	6266
176	1342	6240
177	1345	6215
178	1354	6213
179	1359	6191
180	1365	6178
181	1369	6155
182	1373	6132
183	1380	6121
184	1383	6094
185	1387	6070
186	1391	6051
187	1395	6027
188	1398	6002
189	1402	5980
190	1408	5965
191	1411	5942
192	1417	5928
193	1421	5906
194	1425	5884
195	1430	5868
196	1435	5852
197	1439	5831
198	1445	5819
199	1449	5797
200	1452	5775
201	1458	5760
202	1461	5739
